,Protein IDs,lab2,lab3,non2,non3
0,F6ZLC6,3.199027778,0.0,0.0,1.0533591613027187
1,A0A1L1SQV7,61.87847222,22.991399823648386,15.323370016035977,17.939428491756058
2,Q01149,39.82986111,160.27996233527222,18.695886856897264,40.02281481544261
3,Q5RIU1,12.56875,27.115792240078452,6.545505907310358,7.579231819904833
4,Q3V0W6,4.738888889,0.0,0.0,1.9782429423577
5,F6WM66,15.16666667,25.14513242883498,7.082104372467305,10.780392421129164
6,Q8CJI4,46.95833333,27.27342289578353,29.600689744469303,13.990917563669862
7,Q8K3J1,55.92013888999999,74.38507930311192,29.986624384276052,35.55502531902362
8,Q925N0,15.310069439999998,13.795171744495455,0.0,13.168650961956752
9,Q99LI2,25.07604167,37.05039550542876,14.592220674428598,17.25611950616376
10,P07309,27.44895833,87.00659398329496,15.66813227683185,35.97491898323653
11,A0A2R8VHF9,42.78125,72.16718824990237,21.355804541589595,36.88720596167309
12,Q810N9,51.35416667,67.32765040288079,33.11844105998689,34.1654491317156
13,B7ZCB8,4.4815972219999995,4.530968906141241,2.469212586752281,2.8479967984719288
14,Q9QZE5,8.169097222000001,8.185732572170991,0.0,8.456779385611231
15,A0A0U1RP13,41.25,34.569786692710714,30.216465887129836,20.20473974395026
16,Q5HZI2,27.97534722,16.255316234101986,16.6779870625368,13.729918907150786
17,E9Q9I2,25.42986111,22.208224323612807,25.120590235415484,9.079672009824511
18,Q8JZQ2,104.8472222,85.24223675823717,60.365065193542314,64.1682113593079
19,Q8C7D2,13.30868056,22.220945392731828,8.413646771360531,13.158078106480133
20,O35954,50.14930556,54.64529582552601,0.0,58.576677644420656
21,P70188,60.02777778,59.739255070857,24.38220179864072,51.41733949394872
22,P04187,53.33333333,44.52927900980019,38.36950497967506,30.827445485465773
23,Q5SUT0,36.39930556,39.16541181675941,21.625913554475108,28.097230367647004
24,P62855,46.15972222,30.179357965920953,30.16760194588605,26.0249493718367
25,A0A0G2JFP9,74.19791667,88.5994932946019,55.25697355651702,57.120643473602655
26,E9Q812,15.31423611,20.647957322816225,10.643742757327662,13.475566050722696
27,Q9Z1J3,16.30416667,19.152954943040356,12.391533544014768,12.417373584929233
28,D3Z2X2,51.17013889,61.19941277819802,37.28137739196086,41.101246770054054
29,D3Z4E3,57.38541667,109.88792887686311,35.76885743145764,69.84734879475823
30,Q68ED7,58.49305556000001,82.86948049774587,41.183253596296524,54.85200931701298
31,Q9R1P3,90.17361111,145.93280669202937,61.776690158463836,95.33398842882437
32,P62317,218.58333330000002,170.27429924515158,150.80407645861715,144.9056082897466
33,Q5F2E8,45.5625,61.083263864772235,34.3282760598058,41.93801329132937
34,A0A0G2JGW5,37.99305556,42.314153405013975,23.36329812768856,34.31044838823729
35,Q9JJZ2,34.69722222,37.73899260885548,27.230336140110435,26.978017381654407
36,A0A1D5RMH2,20.74722222,32.986289899671576,15.259575430422272,22.23382305221906
37,Q8K2C9,33.04513889,73.11297221599087,22.743902430929143,46.5719477726232
38,Q9QYE3,47.07986111,27.394549619557164,27.33711290784522,32.189834304019776
39,P24668,44.21875,41.90652604299045,31.574250033694394,34.27117775608142
40,G3X9N3,27.428125,25.168362205148544,19.5994173158722,20.86569468180919
41,A0A1W2P7H9,42.34375,60.45827212286961,30.92273081711055,42.49384376451259
42,Q8BWT1,46.13194444,57.56008032743236,36.55927692257031,40.361146408193264
43,F6V9F1,59.92708333,51.87154927285563,52.39300366260709,38.06834570739998
44,Q8CGP0,16.24305556,7.723902389191752,9.08371618901925,10.727830197491265
45,Z4YLQ1,57.49652778,72.65390747506338,45.27153668036013,52.081919407348224
46,P51880,41.92013889,32.338068381455386,34.40926350784363,26.87621582137417
47,Q3UHX2,50.18402778,56.23819513683295,36.7171798496031,44.30935525643441
48,Q922H2,14.86145833,12.596072540352084,10.793954132551834,11.125369813970806
49,A0A087,47.35763889,56.8963722757448,57.7363661336345,28.349468656459752
50,Z4YKQ9,14.8375,16.419030889081643,11.56899053307767,12.659341089410464
51,A0A2I3BRT5,14.59930556,17.175104975453568,12.10739877528406,12.525216776910396
52,Q8C729,49.07291667,65.14847565945615,36.61357019496243,48.67745776888845
53,Q9CZS1,61.40625,79.54540935839037,45.398220969578006,60.32573114413253
54,P32921,61.51736111,76.48129054604898,47.791649195483714,57.29283009017842
55,B1AZ85,33.25486111,36.42927540087622,27.421267468977174,27.418150534685303
56,E9Q7U8,20.30763889,24.63463032493254,17.573373531304433,17.444014370381904
57,D3YV69,113.93749999999999,140.9826508443577,95.07656123409588,101.67770580377406
58,Q8BUV3,184.38541669999998,193.5040809745711,148.95358089148064,150.90797317779555
59,Q9CPY7,96.65972222,120.34686150416164,81.54848860473398,86.96028154087054
60,E9PUC2,50.81944444,53.658030101229215,40.12408241531263,42.71738427664607
61,O35215,55.28819444,162.38723527632874,29.164533814343717,109.91245510170695
62,A0A1W2P6P9,43.66666667,68.42276867940431,34.66172720426988,48.23943919217285
63,P62309,33.12743056,46.0591260620109,19.186788487389354,38.37042749254517
64,Q60648,16.82916667,18.06945156263811,13.288729800256151,14.371842684271911
65,A2ARF6,114.92361109999999,106.61363585691498,90.04086061389636,90.0566197798841
66,P48722,941.4236110999999,961.1045602298481,606.0938489976124,871.7778041260314
67,A0A286YDF2,121.1388889,168.24445889180691,105.16606020589822,117.36179175652232
68,A0A1B0GS66,17.92986111,23.99525823848528,12.789231733339847,18.765017989164686
69,S4R1N6,28.323263889999996,34.91380869321014,24.555487811048184,25.349192434570515
70,A0A1Y7VIQ5,37.23263889,36.694758608808044,28.867278171777333,30.82442466961531
71,Q9R0X4,50.57291667,48.17580163283818,38.54867276423562,41.56947352267418
72,O88531,83.16666667,70.40283102484457,48.085737737986356,74.06743124354007
73,A0A1C7CYU3,47.11458333,66.76902947092562,39.805109474213715,47.70475443864283
74,Q99MN1,61.37847222,71.26012057766981,48.82774572886,56.108669519901106
75,P55088,30.60659722,34.56757433078623,24.374510249438185,27.474941910953792
76,P51150,91.31597222,99.92677728434803,61.695250256390864,87.78194401769335
77,Q8BSH2,28.09340278,31.19317200145352,22.852488962682987,24.66014389712235
78,Q9D0S9,37.19444444,42.131633697569725,32.25110610290966,31.842440255017774
79,P36993,59.6875,50.31294154748465,48.768928020359475,44.0072734712892
80,I7HLV2,58.69097222,52.955052653257866,43.98795332767077,47.94641986327901
81,J3QN87,23.95729167,31.068173656258793,20.5518117291213,22.87484058980502
82,Q91ZA3,364.2708333,369.15441539538364,274.1719547387353,320.47855872048495
83,Q08331,34.82291667,26.824866877979588,29.23013819003725,24.171677664384198
84,P06801,237.0486111,177.20451751790847,181.44357740855213,173.69098090310686
85,Q60771,284.03125,295.980603282221,193.30213198026595,268.9977819718771
86,Q5PPR2,62.73958333,69.65615947266944,49.841220068663844,56.9514776815773
87,Q9DBH5,36.44791667,55.88421749970886,29.06001927769352,41.42447426615249
88,Q99KR7,128.8159722,120.82251893562923,97.88623785561369,108.71016957542719
89,Q8C170,32.85069444,27.25572401631668,26.8548077085652,24.599425456768273
90,P26041,36.39583333,40.633312782871634,29.798407727498663,32.848372577018395
91,Q80YD3,25.246875,29.14895122391928,21.507373255464525,22.804153453664433
92,E0CXI9,22.48541667,22.563861220233516,18.438446270327468,19.026016645683768
93,S4R2H5,13.03368056,12.116543476313094,11.09030488659349,10.254770132550432
94,Q9QYP6,107.1215278,111.15450506713749,91.20816588562933,90.80276178214575
95,K3W4L8,11.803125,21.56885223716555,10.73694620110075,14.571518740746804
96,Q920G9,57.83680556,58.76581660460598,49.04039436928966,48.565687512821704
97,P98084,61.375,67.29999590271827,50.96328094022153,54.96075875722926
98,Q6NS52,137.03125,125.4297589717282,114.94789733990304,108.76454429553533
99,Q9JKR6,79.61458333,90.79526074449565,66.48663117037145,73.11889445749806
100,A0A1L1SUR7,47.88888889,48.30190616695963,36.76694867285641,42.87446680526958
101,D3YU17,9.359722222,8.944019015688701,7.472111015195927,7.9344799909880255
102,O35127,35.80208333,38.861212299042656,30.84310069208702,31.40442167830218
